Estoy en servicio 
🌮
Tortas 
Longaniza 
Pastor 
Campechanos 
Bistec 
$40 la orden
[20/03/2026, 21:05:12] Alba❤️❤️❤️❤️ Colonia Santa Maria: Pregunta por lo disponible ‼️
[14/05/2026, 23:26:33] Alba❤️❤️❤️❤️ Colonia Santa Maria: [Archivo adjunto]
[14/05/2026, 23:26:34] Alba❤️❤️❤️❤️ Colonia Santa Maria: [Archivo adjunto]
[14/05/2026, 23:26:37] Alba❤️❤️❤️❤️ Colonia Santa Maria: [Archivo adjunto]
[14/05/2026, 23:26:39] Alba❤️❤️❤️❤️ Colonia Santa Maria: [Archivo adjunto]
[14/05/2026, 23:26:41] Alba❤️❤️❤️❤️ Colonia Santa Maria: [Archivo adjunto]
[14/05/2026, 23:26:42] Alba❤️❤️❤️❤️ Colonia Santa Maria: [Archivo adjunto]
[14/05/2026, 23:26:44] Alba❤️❤️❤️❤️ Colonia Santa Maria: [Archivo adjunto]
[14/05/2026, 23:26:45] Alba❤️❤️❤️❤️ Colonia Santa Maria: [Archivo adjunto]
[14/05/2026, 23:26:46] Alba❤️❤️❤️❤️ Colonia Santa Maria: [Archivo adjunto]
[14/05/2026, 23:26:48] Alba❤️❤️❤️❤️ Colonia Santa Maria: [Archivo adjunto]
[14/05/2026, 23:26:48] Alba❤️❤️❤️❤️ Colonia Santa Maria: Pregunta por lo disponible ‼️
[15/05/2026, 22:46:48] Gersom: Para servirles
[15/05/2026, 22:46:48] Gersom: [Archivo adjunto]
[15/05/2026, 22:46:48] Yo: 201648764932124@lid
[15/05/2026, 22:46:48] Alba❤️❤️❤️❤️ Colonia Santa Maria: [Archivo adjunto]
[15/05/2026, 22:46:49] Alba❤️❤️❤️❤️ Colonia Santa Maria: [Archivo adjunto]
[15/05/2026, 22:46:49] Alba❤️❤️❤️❤️ Colonia Santa Maria: Pregunta por lo disponible ‼️
[16/05/2026, 05:03:58] Gersom: Para servirles
[16/05/2026, 05:03:58] Gersom: [Archivo adjunto]
[16/05/2026, 05:03:58] Yo: 201648764932124@lid
[16/05/2026, 05:03:58] Alba❤️❤️❤️❤️ Colonia Santa Maria: [Archivo adjunto]
[16/05/2026, 05:03:59] Alba❤️❤️❤️❤️ Colonia Santa Maria: [Archivo adjunto]
[16/05/2026, 05:03:59] Alba❤️❤️❤️❤️ Colonia Santa Maria: Pregunta por lo disponible ‼️
[16/05/2026, 05:09:34] Gersom: Para servirles
[16/05/2026, 05:09:34] Gersom: [Archivo adjunto]
[16/05/2026, 05:09:34] Yo: 201648764932124@lid
[16/05/2026, 05:09:34] Alba❤️❤️❤️❤️ Colonia Santa Maria: [Archivo adjunto]
[16/05/2026, 05:09:34] Alba❤️❤️❤️❤️ Colonia Santa Maria: Pregunta por lo disponible ‼️
[16/05/2026, 05:57:51] Gersom: Para servirles
[16/05/2026, 05:57:51] Gersom: [Archivo adjunto]
[16/05/2026, 05:57:51] Yo: 201648764932124@lid
[16/05/2026, 05:57:51] Alba❤️❤️❤️❤️ Colonia Santa Maria: [Archivo adjunto]
[16/05/2026, 05:57:51] Alba❤️❤️❤️❤️ Colonia Santa Maria: Pregunta por lo disponible ‼️
[16/05/2026, 22:40:18] Gersom: Para servirles
[16/05/2026, 22:40:18] Gersom: [Archivo adjunto]
[16/05/2026, 22:40:18] Yo: 201648764932124@lid
[16/05/2026, 22:40:18] Alba❤️❤️❤️❤️ Colonia Santa Maria: [Archivo adjunto]
[16/05/2026, 22:40:18] Alba❤️❤️❤️❤️ Colonia Santa Maria: Pregunta por lo disponible ‼️
[17/05/2026, 18:28:42] Gersom: Para servirles
[17/05/2026, 18:28:42] Gersom: [Archivo adjunto]
[17/05/2026, 18:28:42] Yo: 201648764932124@lid
[17/05/2026, 18:28:42] Alba❤️❤️❤️❤️ Colonia Santa Maria: [Archivo adjunto]
[17/05/2026, 18:28:42] Alba❤️❤️❤️❤️ Colonia Santa Maria: Pregunta por lo disponible ‼️
[18/05/2026, 05:19:12] Gersom: Para servirles
[18/05/2026, 05:19:12] Gersom: [Archivo adjunto]
[18/05/2026, 05:19:12] Yo: 201648764932124@lid
[18/05/2026, 05:19:12] Alba❤️❤️❤️❤️ Colonia Santa Maria: [Archivo adjunto]
[18/05/2026, 05:19:12] Alba❤️❤️❤️❤️ Colonia Santa Maria: Pregunta por lo disponible ‼️
[29/05/2026, 14:50:34] Gersom: [Archivo adjunto]
[29/05/2026, 19:00:50] 5217341411968-1628196334: Buenas noches 🙂 
[29/05/2026, 19:59:35] Paula: Yes tienes tacos de que tienes
[29/05/2026, 20:20:29] 5217341411968-1628196334: Si
[29/05/2026, 20:21:13] Paula: De que tienes de suadero
[29/05/2026, 20:21:53] Paula: Quiero dos órdenes x fa
[30/05/2026, 19:07:39] 5217341411968-1628196334: Buenas tardes
[30/05/2026, 19:09:44] 5217341411968-1628196334: Para los que tienen toma de agua de venados, dicen que se volvió a quemar la.pieza de la.bomba.
[30/05/2026, 19:10:00] 5217341411968-1628196334: Para que tomemos precauciones
[31/05/2026, 11:21:45] Paula: Gracias yes aver si hay mañana  agua
[03/06/2026, 15:09:57] Yo: [Archivo adjunto]
