Y a las mamis del grupo 
Felicidades 💐 
Dios las siga bendiciendo con sabiduría, valentía y fortaleza para seguir haciendo ese gran rol que transforma el mundo.
[14/05/2026, 23:24:49] Cesia Miranda: Gracias 😃 prima.🥰🥰
[14/05/2026, 23:24:49] Rox: Gracias prima, felicidades a todas las mamás y mamacitas! Y por cierto Cesy, espero hayas tenido un muy feliz cumpleaños! Yo sé que fue el 8, pero más vale tarde que nunca! Doble felicitación!!! Las quiero un montón chamacas! Un abrazo!
[14/05/2026, 23:24:49] Cesia Miranda: Primas buenos días a todas.
[14/05/2026, 23:24:49] Yo: 249700976472185@lid
[14/05/2026, 23:24:49] Yo: 81467040391320@lid
[14/05/2026, 23:24:49] Yo: 200227248152736@lid
[14/05/2026, 23:24:49] Yo: 237430389096506@lid
[15/05/2026, 16:09:52] LAS PRIMAS  💃🏼💃🏼💃🏼: 249700976472185@lid
[15/05/2026, 22:09:52] LAS PRIMAS  💃🏼💃🏼💃🏼: 249700976472185@lid
[15/05/2026, 22:09:53] LAS PRIMAS  💃🏼💃🏼💃🏼: 249700976472185@lid
[15/05/2026, 22:46:44] LAS PRIMAS  💃🏼💃🏼💃🏼: 249700976472185@lid
[15/05/2026, 22:46:44] Yo: [Archivo adjunto]
[15/05/2026, 22:46:44] Jamin Miranda: [Archivo adjunto]
[15/05/2026, 22:46:44] Cesia Miranda: Gracias 😃 prima.🥰🥰
[15/05/2026, 22:46:44] Rox: Gracias prima, felicidades a todas las mamás y mamacitas! Y por cierto Cesy, espero hayas tenido un muy feliz cumpleaños! Yo sé que fue el 8, pero más vale tarde que nunca! Doble felicitación!!! Las quiero un montón chamacas! Un abrazo!
[15/05/2026, 22:46:44] Cesia Miranda: Primas buenos días a todas.
[15/05/2026, 22:46:44] Yo: 249700976472185@lid
[15/05/2026, 22:46:44] Yo: 81467040391320@lid
[15/05/2026, 22:46:44] Yo: 200227248152736@lid
[15/05/2026, 22:46:44] Yo: 237430389096506@lid
[16/05/2026, 05:03:50] LAS PRIMAS  💃🏼💃🏼💃🏼: 249700976472185@lid
[16/05/2026, 05:03:50] Yo: [Archivo adjunto]
[16/05/2026, 05:03:50] Jamin Miranda: [Archivo adjunto]
[16/05/2026, 05:03:50] Cesia Miranda: Gracias 😃 prima.🥰🥰
[16/05/2026, 05:03:50] Rox: Gracias prima, felicidades a todas las mamás y mamacitas! Y por cierto Cesy, espero hayas tenido un muy feliz cumpleaños! Yo sé que fue el 8, pero más vale tarde que nunca! Doble felicitación!!! Las quiero un montón chamacas! Un abrazo!
[16/05/2026, 05:03:50] Cesia Miranda: Primas buenos días a todas.
[16/05/2026, 05:03:50] Yo: 249700976472185@lid
[16/05/2026, 05:03:50] Yo: 81467040391320@lid
[16/05/2026, 05:03:50] Yo: 200227248152736@lid
[16/05/2026, 05:03:50] Yo: 237430389096506@lid
[16/05/2026, 05:09:30] LAS PRIMAS  💃🏼💃🏼💃🏼: 249700976472185@lid
[16/05/2026, 05:09:30] Yo: [Archivo adjunto]
[16/05/2026, 05:09:30] Jamin Miranda: [Archivo adjunto]
[16/05/2026, 05:09:30] Cesia Miranda: Gracias 😃 prima.🥰🥰
[16/05/2026, 05:09:30] Rox: Gracias prima, felicidades a todas las mamás y mamacitas! Y por cierto Cesy, espero hayas tenido un muy feliz cumpleaños! Yo sé que fue el 8, pero más vale tarde que nunca! Doble felicitación!!! Las quiero un montón chamacas! Un abrazo!
[16/05/2026, 05:09:30] Cesia Miranda: Primas buenos días a todas.
[16/05/2026, 05:09:30] Yo: 249700976472185@lid
[16/05/2026, 05:09:30] Yo: 81467040391320@lid
[16/05/2026, 05:09:30] Yo: 200227248152736@lid
[16/05/2026, 05:09:30] Yo: 237430389096506@lid
[16/05/2026, 05:57:48] LAS PRIMAS  💃🏼💃🏼💃🏼: 249700976472185@lid
[16/05/2026, 05:57:48] Yo: [Archivo adjunto]
[16/05/2026, 05:57:48] Jamin Miranda: [Archivo adjunto]
[16/05/2026, 05:57:48] Cesia Miranda: Gracias 😃 prima.🥰🥰
[16/05/2026, 05:57:48] Rox: Gracias prima, felicidades a todas las mamás y mamacitas! Y por cierto Cesy, espero hayas tenido un muy feliz cumpleaños! Yo sé que fue el 8, pero más vale tarde que nunca! Doble felicitación!!! Las quiero un montón chamacas! Un abrazo!
[16/05/2026, 05:57:48] Cesia Miranda: Primas buenos días a todas.
[16/05/2026, 05:57:48] Yo: 249700976472185@lid
[16/05/2026, 05:57:48] Yo: 81467040391320@lid
[16/05/2026, 05:57:48] Yo: 200227248152736@lid
[16/05/2026, 05:57:48] Yo: 237430389096506@lid
[16/05/2026, 22:40:14] LAS PRIMAS  💃🏼💃🏼💃🏼: 249700976472185@lid
[16/05/2026, 22:40:14] Yo: [Archivo adjunto]
[16/05/2026, 22:40:14] Jamin Miranda: [Archivo adjunto]
[16/05/2026, 22:40:14] Cesia Miranda: Gracias 😃 prima.🥰🥰
[16/05/2026, 22:40:14] Rox: Gracias prima, felicidades a todas las mamás y mamacitas! Y por cierto Cesy, espero hayas tenido un muy feliz cumpleaños! Yo sé que fue el 8, pero más vale tarde que nunca! Doble felicitación!!! Las quiero un montón chamacas! Un abrazo!
[16/05/2026, 22:40:14] Cesia Miranda: Primas buenos días a todas.
[16/05/2026, 22:40:14] Yo: 249700976472185@lid
[16/05/2026, 22:40:14] Yo: 81467040391320@lid
[16/05/2026, 22:40:14] Yo: 200227248152736@lid
[16/05/2026, 22:40:14] Yo: 237430389096506@lid
[17/05/2026, 18:28:38] LAS PRIMAS  💃🏼💃🏼💃🏼: 249700976472185@lid
[17/05/2026, 18:28:38] Yo: [Archivo adjunto]
[17/05/2026, 18:28:38] Jamin Miranda: [Archivo adjunto]
[17/05/2026, 18:28:38] Cesia Miranda: Gracias 😃 prima.🥰🥰
[17/05/2026, 18:28:38] Rox: Gracias prima, felicidades a todas las mamás y mamacitas! Y por cierto Cesy, espero hayas tenido un muy feliz cumpleaños! Yo sé que fue el 8, pero más vale tarde que nunca! Doble felicitación!!! Las quiero un montón chamacas! Un abrazo!
[17/05/2026, 18:28:38] Cesia Miranda: Primas buenos días a todas.
[17/05/2026, 18:28:38] Yo: 249700976472185@lid
[17/05/2026, 18:28:38] Yo: 81467040391320@lid
[17/05/2026, 18:28:38] Yo: 200227248152736@lid
[17/05/2026, 18:28:38] Yo: 237430389096506@lid
[18/05/2026, 05:19:09] LAS PRIMAS  💃🏼💃🏼💃🏼: 249700976472185@lid
[18/05/2026, 05:19:09] Yo: [Archivo adjunto]
[18/05/2026, 05:19:09] Jamin Miranda: [Archivo adjunto]
[18/05/2026, 05:19:09] Cesia Miranda: Gracias 😃 prima.🥰🥰
[18/05/2026, 05:19:09] Rox: Gracias prima, felicidades a todas las mamás y mamacitas! Y por cierto Cesy, espero hayas tenido un muy feliz cumpleaños! Yo sé que fue el 8, pero más vale tarde que nunca! Doble felicitación!!! Las quiero un montón chamacas! Un abrazo!
[18/05/2026, 05:19:09] Cesia Miranda: Primas buenos días a todas.
[18/05/2026, 05:19:09] Yo: 249700976472185@lid
[18/05/2026, 05:19:09] Yo: 81467040391320@lid
[18/05/2026, 05:19:09] Yo: 200227248152736@lid
[18/05/2026, 05:19:09] Yo: 237430389096506@lid
