[16/03/2026, 00:52:57] Yo: [Archivo adjunto]
[16/05/2026, 05:04:11] Yo: Yo vivo cerca de la cancha, a lado de doña Vicky que vende chamoyadas, calle Crisantemos
[16/05/2026, 05:04:11] Fabi Churros: En la cancha de santa maría
[16/05/2026, 05:04:11] Fabi Churros: [Archivo adjunto]
[16/05/2026, 05:04:11] Fabi Churros: Hola buenas tardes
[16/05/2026, 05:04:11] Yo: Hola! Dónde vendes?
[16/05/2026, 05:04:11] Yo: [Archivo adjunto]
[16/05/2026, 05:09:45] Yo: Lleva un short y camiseta azul
[16/05/2026, 05:09:45] Yo: Va mi hijo
[16/05/2026, 05:09:45] Yo: Ok
[16/05/2026, 05:09:45] Fabi Churros: Si ya
[16/05/2026, 05:09:45] Yo: Ya vas para allá?
[16/05/2026, 05:09:45] Fabi Churros: Entonces nos vemos en la cancha
[16/05/2026, 05:09:45] Fabi Churros: Claro
[16/05/2026, 05:09:45] Yo: Te puedo encargar 3 bolsas?
[16/05/2026, 05:09:45] Yo: Yo vivo cerca de la cancha, a lado de doña Vicky que vende chamoyadas, calle Crisantemos
[16/05/2026, 05:09:45] Fabi Churros: En la cancha de santa maría
[16/05/2026, 05:09:45] Fabi Churros: [Archivo adjunto]
[16/05/2026, 05:09:45] Fabi Churros: Hola buenas tardes
[16/05/2026, 05:09:45] Yo: Hola! Dónde vendes?
[16/05/2026, 05:09:45] Yo: [Archivo adjunto]
[16/05/2026, 05:58:03] Yo: Lleva un short y camiseta azul
[16/05/2026, 05:58:03] Yo: Va mi hijo
[16/05/2026, 05:58:03] Yo: Ok
[16/05/2026, 05:58:03] Fabi Churros: Si ya
[16/05/2026, 05:58:03] Yo: Ya vas para allá?
[16/05/2026, 05:58:03] Fabi Churros: Entonces nos vemos en la cancha
[16/05/2026, 05:58:03] Fabi Churros: Claro
[16/05/2026, 05:58:03] Yo: Te puedo encargar 3 bolsas?
[16/05/2026, 05:58:03] Yo: Yo vivo cerca de la cancha, a lado de doña Vicky que vende chamoyadas, calle Crisantemos
[16/05/2026, 05:58:03] Fabi Churros: En la cancha de santa maría
[16/05/2026, 05:58:03] Fabi Churros: [Archivo adjunto]
[16/05/2026, 05:58:03] Fabi Churros: Hola buenas tardes
[16/05/2026, 05:58:03] Yo: Hola! Dónde vendes?
[16/05/2026, 05:58:03] Yo: [Archivo adjunto]
[16/05/2026, 22:40:30] Yo: Lleva un short y camiseta azul
[16/05/2026, 22:40:30] Yo: Va mi hijo
[16/05/2026, 22:40:30] Yo: Ok
[16/05/2026, 22:40:30] Fabi Churros: Si ya
[16/05/2026, 22:40:30] Yo: Ya vas para allá?
[16/05/2026, 22:40:30] Fabi Churros: Entonces nos vemos en la cancha
[16/05/2026, 22:40:30] Fabi Churros: Claro
[16/05/2026, 22:40:30] Yo: Te puedo encargar 3 bolsas?
[16/05/2026, 22:40:30] Yo: Yo vivo cerca de la cancha, a lado de doña Vicky que vende chamoyadas, calle Crisantemos
[16/05/2026, 22:40:30] Fabi Churros: En la cancha de santa maría
[16/05/2026, 22:40:30] Fabi Churros: [Archivo adjunto]
[16/05/2026, 22:40:30] Fabi Churros: Hola buenas tardes
[16/05/2026, 22:40:30] Yo: Hola! Dónde vendes?
[16/05/2026, 22:40:30] Yo: [Archivo adjunto]
[17/05/2026, 18:28:55] Yo: Lleva un short y camiseta azul
[17/05/2026, 18:28:55] Yo: Va mi hijo
[17/05/2026, 18:28:55] Yo: Ok
[17/05/2026, 18:28:55] Fabi Churros: Si ya
[17/05/2026, 18:28:55] Yo: Ya vas para allá?
[17/05/2026, 18:28:55] Fabi Churros: Entonces nos vemos en la cancha
[17/05/2026, 18:28:55] Fabi Churros: Claro
[17/05/2026, 18:28:55] Yo: Te puedo encargar 3 bolsas?
[17/05/2026, 18:28:55] Yo: Yo vivo cerca de la cancha, a lado de doña Vicky que vende chamoyadas, calle Crisantemos
[17/05/2026, 18:28:55] Fabi Churros: En la cancha de santa maría
[17/05/2026, 18:28:55] Fabi Churros: [Archivo adjunto]
[17/05/2026, 18:28:55] Fabi Churros: Hola buenas tardes
[17/05/2026, 18:28:55] Yo: Hola! Dónde vendes?
[17/05/2026, 18:28:55] Yo: [Archivo adjunto]
[18/05/2026, 05:19:25] Yo: Lleva un short y camiseta azul
[18/05/2026, 05:19:25] Yo: Va mi hijo
[18/05/2026, 05:19:25] Yo: Ok
[18/05/2026, 05:19:25] Fabi Churros: Si ya
[18/05/2026, 05:19:25] Yo: Ya vas para allá?
[18/05/2026, 05:19:25] Fabi Churros: Entonces nos vemos en la cancha
[18/05/2026, 05:19:25] Fabi Churros: Claro
[18/05/2026, 05:19:25] Yo: Te puedo encargar 3 bolsas?
[18/05/2026, 05:19:25] Yo: Yo vivo cerca de la cancha, a lado de doña Vicky que vende chamoyadas, calle Crisantemos
[18/05/2026, 05:19:25] Fabi Churros: En la cancha de santa maría
[18/05/2026, 05:19:25] Fabi Churros: [Archivo adjunto]
[18/05/2026, 05:19:25] Fabi Churros: Hola buenas tardes
[18/05/2026, 05:19:25] Yo: Hola! Dónde vendes?
[18/05/2026, 05:19:25] Yo: [Archivo adjunto]
